1,최명동,1,1,1
2,박석진,1,1,2
3,정명수,1,1,3
4,이재석,1,1,4
5,최진석,1,1,5
6,박진재,1,1,6
7,김동석,1,1,7
8,정명수,1,1,8
9,김길석,1,1,9
10,이현명,1,1,10
11,최석길,1,2,1
12,정진동,1,2,2
13,정명수,1,2,3
14,박현수,1,2,4
15,김현수,1,2,5
16,이명현,1,2,6
17,이진현,1,2,7
18,최수현,1,2,8
19,최길수,1,2,9
20,최길재,1,2,10
21,정동수,1,3,1
22,박석동,1,3,2
23,박동명,1,3,3
24,박석현,1,3,4
25,김석동,1,3,5
26,김동현,1,3,6
27,박수수,1,3,7
28,이재현,1,3,8
29,정명길,1,3,9
30,이현동,1,3,10
31,박현현,1,4,1
32,박길명,1,4,2
33,최진진,1,4,3
34,최현명,1,4,4
35,정동재,1,4,5
36,정명길,1,4,6
37,박동현,1,4,7
38,김석명,1,4,8
39,박동수,1,4,9
40,이명동,1,4,10
41,박길석,1,5,1
42,이길재,1,5,2
43,박현명,1,5,3
44,김동수,1,5,4
45,박재현,1,5,5
46,김명길,1,5,6
47,김동재,1,5,7
48,박길수,1,5,8
49,정진재,1,5,9
50,김동길,1,5,10
51,이수현,2,1,1
52,박석진,2,1,2
53,최동명,2,1,3
54,최재석,2,1,4
55,최명진,2,1,5
56,김길동,2,1,6
57,이길재,2,1,7
58,최동수,2,1,8
59,김진석,2,1,9
60,이수재,2,1,10
61,최동현,2,2,1
62,박동현,2,2,2
63,김재진,2,2,3
64,정명석,2,2,4
65,이길재,2,2,5
66,최길현,2,2,6
67,최명석,2,2,7
68,박현동,2,2,8
69,이명수,2,2,9
70,정재명,2,2,10
71,최명동,2,3,1
72,이수재,2,3,2
73,정현진,2,3,3
74,이수재,2,3,4
75,이수석,2,3,5
76,최현길,2,3,6
77,최명재,2,3,7
78,이진재,2,3,8
79,김재수,2,3,9
80,정진재,2,3,10
81,김현진,2,4,1
82,최진재,2,4,2
83,박석진,2,4,3
84,정진동,2,4,4
85,김재길,2,4,5
86,이석진,2,4,6
87,김재길,2,4,7
88,최길재,2,4,8
89,정길석,2,4,9
90,정동재,2,4,10
91,최명현,2,5,1
92,정현현,2,5,2
93,김재재,2,5,3
94,김진석,2,5,4
95,정진재,2,5,5
96,최길수,2,5,6
97,박수길,2,5,7
98,김현진,2,5,8
99,박수현,2,5,9
100,김동진,2,5,10
101,박명진,3,1,1
102,이진명,3,1,2
103,박수동,3,1,3
104,최동수,3,1,4
105,이동재,3,1,5
106,이길동,3,1,6
107,김길길,3,1,7
108,정동길,3,1,8
109,최명명,3,1,9
110,이재석,3,1,10
111,정석재,3,2,1
112,정석동,3,2,2
113,김명길,3,2,3
114,박명석,3,2,4
115,박현현,3,2,5
116,이현석,3,2,6
117,김명수,3,2,7
118,정진동,3,2,8
119,정재길,3,2,9
120,정진진,3,2,10
121,이석현,3,3,1
122,정현길,3,3,2
123,이석현,3,3,3
124,이동석,3,3,4
125,최진재,3,3,5
126,박명수,3,3,6
127,김석재,3,3,7
128,최동명,3,3,8
129,이길수,3,3,9
130,김길재,3,3,10
131,박재재,3,4,1
132,정동현,3,4,2
133,최진진,3,4,3
134,김재재,3,4,4
135,박현현,3,4,5
136,박길동,3,4,6
137,박명길,3,4,7
138,김수동,3,4,8
139,최현석,3,4,9
140,이명현,3,4,10
141,이재명,3,5,1
142,정수명,3,5,2
143,정현길,3,5,3
144,김재현,3,5,4
145,최수길,3,5,5
146,박길현,3,5,6
147,박수명,3,5,7
148,김명진,3,5,8
149,정길진,3,5,9
150,정길진,3,5,10
